algorithm,n_runs,throughput_mean,throughput_std,throughput_min,throughput_max,fairness_mean,fairness_std,fairness_min,fairness_max,min_rate_mean,min_rate_std,switches_mean,switches_std,score_mean,score_std
throughput,5,405.65,33.65,363.77,461.64,0.9822,0.0113,0.961,0.9943,41.19,4.38,1.0,0.0,0.9633,0.0516
proportional_fair,5,384.65,32.09,344.74,438.43,0.9822,0.0113,0.961,0.9943,39.05,4.16,0.0,0.0,0.9337,0.0492
max_min,5,405.66,33.51,364.15,461.47,0.9822,0.0113,0.961,0.9943,41.19,4.36,1.0,0.0,0.9633,0.0514
jain,5,384.65,32.09,344.74,438.43,0.9822,0.0113,0.961,0.9943,39.05,4.16,0.0,0.0,0.9337,0.0492
hpf,5,384.65,32.09,344.74,438.43,0.9822,0.0113,0.961,0.9943,39.05,4.16,0.0,0.0,0.9337,0.0492
adaptive_hpf,5,384.65,32.09,344.74,438.43,0.9822,0.0113,0.961,0.9943,39.05,4.16,0.0,0.0,0.9337,0.0492
weighted_tf,5,384.65,32.09,344.74,438.43,0.9822,0.0113,0.961,0.9943,39.05,4.16,0.0,0.0,0.9337,0.0492
hpf_switch_cost,5,384.65,32.09,344.74,438.43,0.9822,0.0113,0.961,0.9943,39.05,4.16,0.0,0.0,0.9337,0.0492
adaptive_threshold,5,384.65,32.09,344.74,438.43,0.9822,0.0113,0.961,0.9943,39.05,4.16,0.0,0.0,0.9337,0.0492
channel_predictor,5,406.18,33.98,364.31,462.91,0.9822,0.0113,0.961,0.9944,41.24,4.41,1.0,0.0,0.964,0.0521
