timestep,throughput_tp,throughput_fair,throughput_minrate,proportional_fair_tp,proportional_fair_fair,proportional_fair_minrate,max_min_tp,max_min_fair,max_min_minrate,jain_tp,jain_fair,jain_minrate,hpf_tp,hpf_fair,hpf_minrate,adaptive_hpf_tp,adaptive_hpf_fair,adaptive_hpf_minrate,weighted_tf_tp,weighted_tf_fair,weighted_tf_minrate,hpf_switch_cost_tp,hpf_switch_cost_fair,hpf_switch_cost_minrate,adaptive_threshold_tp,adaptive_threshold_fair,adaptive_threshold_minrate,channel_predictor_tp,channel_predictor_fair,channel_predictor_minrate
0,487.48,0.9694,47.69,487.48,0.9694,47.69,487.48,0.9694,47.69,487.48,0.9694,47.69,487.48,0.9694,47.69,487.48,0.9694,47.69,487.48,0.9694,47.69,487.48,0.9694,47.69,487.48,0.9694,47.69,506.62,0.9736,50.14
1,398.26,0.9832,40.65,385.96,0.9834,39.46,392.03,0.9833,40.01,385.96,0.9834,39.46,385.96,0.9834,39.46,385.96,0.9834,39.46,385.96,0.9834,39.46,385.96,0.9834,39.46,385.96,0.9834,39.46,411.12,0.9829,41.81
2,395.69,0.9821,40.02,382.25,0.9821,38.77,400.79,0.9819,40.58,382.25,0.9821,38.77,382.25,0.9821,38.77,382.25,0.9821,38.77,382.25,0.9821,38.77,382.25,0.9821,38.77,382.25,0.9821,38.77,409.46,0.9819,41.47
3,398.39,0.9819,40.38,385.08,0.9818,39.02,403.21,0.982,40.85,385.08,0.9818,39.02,385.08,0.9818,39.02,385.08,0.9818,39.02,385.08,0.9818,39.02,385.08,0.9818,39.02,385.08,0.9818,39.02,411.22,0.9821,41.72
4,397.09,0.9824,40.31,386.54,0.982,39.09,402.3,0.9823,40.86,386.54,0.982,39.09,386.54,0.982,39.09,386.54,0.982,39.09,386.54,0.982,39.09,386.54,0.982,39.09,386.54,0.982,39.09,411.03,0.9822,41.74
5,400.7,0.9824,40.76,384.23,0.9826,39.12,400.7,0.9824,40.76,384.23,0.9826,39.12,384.23,0.9826,39.12,384.23,0.9826,39.12,384.23,0.9826,39.12,384.23,0.9826,39.12,384.23,0.9826,39.12,411.49,0.9825,41.93
6,400.78,0.9823,40.65,384.52,0.9822,39.0,400.78,0.9823,40.65,384.52,0.9822,39.0,384.52,0.9822,39.0,384.52,0.9822,39.0,384.52,0.9822,39.0,384.52,0.9822,39.0,384.52,0.9822,39.0,409.92,0.9823,41.59
7,403.35,0.9824,41.02,383.2,0.9822,38.8,403.35,0.9824,41.02,383.2,0.9822,38.8,383.2,0.9822,38.8,383.2,0.9822,38.8,383.2,0.9822,38.8,383.2,0.9822,38.8,383.2,0.9822,38.8,409.52,0.9822,41.59
8,405.41,0.9818,41.16,385.92,0.9819,39.22,405.41,0.9818,41.16,385.92,0.9819,39.22,385.92,0.9819,39.22,385.92,0.9819,39.22,385.92,0.9819,39.22,385.92,0.9819,39.22,385.92,0.9819,39.22,411.2,0.982,41.8
9,409.77,0.9825,41.62,382.39,0.9829,39.07,402.76,0.9828,40.99,382.39,0.9829,39.07,382.39,0.9829,39.07,382.39,0.9829,39.07,382.39,0.9829,39.07,382.39,0.9829,39.07,382.39,0.9829,39.07,409.77,0.9825,41.62
